=== SHEET: R1_Rubrics ===
Mã	Tiêu chí	Trọng số	Điểm 5	Điểm 4	Điểm 3	Điểm 2	Điểm 1																		
R1_01	Xử lý dữ liệu thời gian thực và độ chính xác	0.25	Kết nối ổn định; dữ liệu được tiếp nhận, xử lý và cập nhật liên tục; kết quả chính xác, hầu như không có mất mát hoặc sai lệch.	Xử lý dữ liệu tốt; có độ trễ hoặc sai lệch nhỏ nhưng không ảnh hưởng đáng kể đến kết quả.	Xử lý được luồng dữ liệu cơ bản; đôi lúc chậm, thiếu đồng bộ hoặc có sai lệch.	Kết nối thiếu ổn định; mất dữ liệu hoặc kết quả sai lệch đáng kể.	Không tiếp nhận hoặc xử lý được dữ liệu thời gian thực.																		
R1_02	Hiệu quả ứng dụng AI	0.25	AI đóng vai trò cốt lõi; phát hiện, dự báo, chẩn đoán hoặc đề xuất hành động chính xác và tạo giá trị rõ ràng.	AI được ứng dụng tốt trong ít nhất một chức năng chính; kết quả khá hợp lý nhưng chưa thật sự toàn diện.	Có ứng dụng AI nhưng ở mức cơ bản; kết quả còn phụ thuộc nhiều vào luật hoặc ngưỡng cố định.	Vai trò của AI mờ nhạt; kết quả thiếu ổn định hoặc chưa thuyết phục.	Không có ứng dụng AI thực chất hoặc AI không tạo ra giá trị.																		
R1_03	Kiến trúc hệ thống và tích hợp kỹ thuật	0.2	Kiến trúc rõ ràng, phân lớp hợp lý; tích hợp tốt MQTT, API, AI và giao diện; dễ bảo trì và mở rộng.	Kiến trúc tương đối tốt; tích hợp các thành phần chính ổn định nhưng còn một số điểm chưa tối ưu.	Kiến trúc cơ bản đáp ứng yêu cầu; còn phụ thuộc chặt giữa các thành phần hoặc thiếu một số cơ chế xử lý lỗi.	Kiến trúc rời rạc; tích hợp thiếu ổn định, khó theo dõi hoặc khó bảo trì.	Không có kiến trúc rõ ràng; các thành phần không tích hợp được với nhau.																		
R1_04	Tính phù hợp với Domain và trải nghiệm người dùng	0.15	Giải pháp bám sát Domain; thông tin được trình bày rõ ràng, đúng đối tượng và hỗ trợ người dùng ra quyết định nhanh chóng.	Phù hợp với Domain; giao diện dễ dùng nhưng còn một số điểm chưa tối ưu.	Đáp ứng bài toán ở mức cơ bản; giao diện còn chung chung hoặc chưa làm nổi bật thông tin quan trọng.	Ít bám sát Domain; giao diện khó sử dụng hoặc chưa hỗ trợ tốt cho người dùng.	Không phù hợp với Domain; giao diện không sử dụng được hoặc gây khó hiểu.																		
R1_05	Ý tưởng, Demo và Pitching	0.15	Ý tưởng rõ ràng, có giá trị thực tiễn; demo mạch lạc; trình bày thuyết phục và đúng trọng tâm.	Ý tưởng tốt; demo và trình bày khá rõ nhưng còn thiếu một số điểm nhấn.	Ý tưởng và demo ở mức cơ bản; trình bày hiểu được nhưng chưa nổi bật.	Ý tưởng chưa rõ; demo rời rạc hoặc trình bày thiếu logic.	Không thể hiện rõ ý tưởng; demo thất bại hoặc không trình bày được giá trị sản phẩm.																		

=== SHEET: R2_Rubrics ===
Mã	Tiêu chí	Trọng số	Điểm 5	Điểm 4	Điểm 3	Điểm 2	Điểm 1
R2_01	Độ hoàn thiện và ổn định của sản phẩm	0.25	Sản phẩm hoàn thiện, hoạt động ổn định, xử lý đầy đủ các luồng chính và vượt qua tốt kịch bản đánh giá.	Sản phẩm tương đối hoàn thiện; có lỗi nhỏ nhưng không ảnh hưởng lớn đến kết quả.	Có đầy đủ chức năng chính nhưng còn lỗi hoặc thiếu một số phần phụ.	Sản phẩm chưa hoàn thiện; lỗi xảy ra thường xuyên và ảnh hưởng đến quá trình sử dụng.	Sản phẩm không thể vận hành hoặc không đủ chức năng để đánh giá.
R2_02	Năng lực phân tích và hỗ trợ quyết định của AI	0.25	AI phân tích chính xác, xác định được bất thường hoặc rủi ro, hỗ trợ chẩn đoán và đề xuất hành động phù hợp.	AI hỗ trợ tốt việc phân tích và ra quyết định; còn hạn chế nhỏ về độ sâu hoặc tính nhất quán.	AI đưa ra kết quả cơ bản nhưng còn chung chung hoặc giá trị hỗ trợ quyết định chưa cao.	Kết quả phân tích thiếu chính xác; đề xuất chưa hợp lý hoặc khó áp dụng.	AI không hỗ trợ hiệu quả cho việc phân tích hoặc ra quyết định.
